"","x"
"1","Justin Amash"
"2","Rod Blum"
"3","David Brat"
"4","Jim Bridenstine"
"5","Mo Brooks"
"6","Ken Buck"
"7","Curt Clawson"
"8","Ron Desantis"
"9","Scott DesJarlais"
"10","Jeff Duncan"
"11","John Fleming"
"12","Trent Franks"
"13","Scott Garrett"
"14","Paul Gosar"
"15","Morgan Griffith"
"16","Andy Harris"
"17","Jody Hice"
"18","Tim Huelskamp"
"19","(chairman) Jordan"
"20","Raúl Labrador"
"21","Barry Loudermilk"
"22","Cynthia Lummis"
"23","Mark Meadows"
"24","Alex Mooney"
"25","Mick Mulvaney"
"26","Gary Palmer"
"27","Stevan Pearce"
"28","Scott Perry"
"29","Bill Posey"
"30","Keith Rothfus"
"31","Matthew Salmon"
"32","Mark Sanford"
"33","David Schweikert"
"34","Marlin Stutzman"
"35","Randy Weber"
"36","Ted Yoho"
"37","MEDIAN MEDIAN"
